retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x0053d4c0	0x0053dae0	HYP__CDXEngine__UploadScaledRgbLookupTable	BRACKETED_CONSTANT_DELTA	true	294	73	false	7	cba140268758a13b4dea59fc4a5ddeecf100d3afab1c854ed15cc1045ff8e561
0x0053d5f0	0x0053dc10	HYP__CDXEngine__Init	RTTI_VTABLE_ANCHOR	true	224	58	false	33	33d1f8585028351417af33c8de1498a62a3741ae3bfff888da2359c7c9158bd9
0x0053d6d0	0x0053dcf0	HYP__CDXEngine__InitResources	RTTI_VTABLE_ANCHOR	true	130	39	false	24	89538307a0e4062616b9dfe756a87a326eaa91df476b6c4483521a65b79d22fb
0x0053d760	0x0053dd80	CThing__RenderDebugVolumeOverlay	UNIQUE_MASKED_WINDOW_MATCH	true	1981	550	false	77	87089866d794ae248512efd503f9bdda0f2222b9266a568bb85d01e78db54451
0x0053df40	0x0053e560	HYP__CDXEngine__RenderTexturedBeamQuad	UNIQUE_MASKED_WINDOW_MATCH	true	734	191	false	29	e9e5e2e8932607054fe15f0a42fd7275524050814f23ebb169a151de0f0b7919
0x0053e220	0x0053e840	HYP__CDXEngine__PreRender	UNIQUE_MASKED_WINDOW_MATCH	true	175	54	false	18	f8a824a059ea241d9ccbec211f1abf986d627c2d7a11dbf5f6a88ff611f2e4c8
0x0053e2d0	0x0053e8f0	HYP__SharedRet_0053e2d0	UNIQUE_ORDER_CONSTRAINED_MATCH	true	1	1	true	0	ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e
0x0053e2e0	0x0053e900	HYP__CDXEngine__Render	UNIQUE_MASKED_WINDOW_MATCH	true	2519	646	false	339	2bc94a144a58ce028400226fa3410b697ef65efc4171cf6bd4184df66ddc1c10
0x0053ecc0	0x0053f2e0	HYP__CDXEngine__PostRender	UNIQUE_MASKED_WINDOW_MATCH	true	840	222	false	197	79b4e80b1acf12f44e9eb4580a441a3f09c5b542147b93c97244d396c2fb9068
0x0053f010	0x0053f630	CCutscene__SetTrackSlotByFlag	UNIQUE_ORDER_CONSTRAINED_MATCH	true	34	9	true	0	8e4435a41a986e5c3b82ea8377faf91c11e034ca378c7fdef4571f4908b88312
0x0053f040	0x0053f660	CVBufTexture__SetStateCacheModeByFlag	UNIQUE_ORDER_CONSTRAINED_MATCH	true	42	13	false	8	d76977ecb5884a762a9133eea9024a71f163c77ab1b71b7cd1dd18a475dca715
0x0053f070	0x0053f690	HYP__DynInit22_0053f090	UNIQUE_ORDER_CONSTRAINED_MATCH	true	22	6	false	5	3ab0849171911457d65ae2100319c57a9fc965687bf436b389df749fc4d700dd
0x0053f090	0x0053f6b0	HYP__JmpThunk_0053f0a0	UNIQUE_ORDER_CONSTRAINED_MATCH	true	10	2	false	2	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x0053f0a0	0x0053f6c0	CDXFMV__DestructorBody	UNIQUE_MASKED_WINDOW_MATCH	true	76	20	false	7	83a80e628617dad8e7336aef529d06e6dbfb30b5f7bff4e43abbfba9123cfb48
0x0053f0f0	0x0053f710	CDXFMV__ctor_base	UNIQUE_MASKED_WINDOW_MATCH	true	76	22	false	5	1601cdbf7c0c1679ea8f4510a81eb0e8f8025f4ab1019c68bb3f2ac6292e371f
0x0053f140	0x0053f770	CDXFMV__scalar_deleting_dtor	RTTI_VTABLE_ANCHOR	true	32	11	false	5	a4284d7048388722363491cd93758810e80dc90a4580bc1797fd018f371e738e
0x0053f160	0x00488d10	VFuncSlot_01_0053f160	RTTI_VTABLE_ANCHOR	true	32	11	false	9	a4284d7048388722363491cd93758810e80dc90a4580bc1797fd018f371e738e
0x0053f180	0x0053f790	CDXFMV__VFunc_06_0053f180	RTTI_VTABLE_ANCHOR	true	10	2	false	4	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x0053f190	0x0053f7a0	CDXFMV__VFunc_11_0053f190	RTTI_VTABLE_ADDRESS_ONLY_DIVERGENT	false	949	267	not_compared	not_compared	not_compared
0x0053f550	0x0053fb60	HYP__ZeroDwords3_0089d700	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053f570	0x0053fb80	HYP__InitIdentityMat_0089d6d0	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053f640	0x0053fc50	HYP__ZeroDwords3_0089d740	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053f660	0x0053fc70	HYP__InitIdentityMat_0089d710	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053f730	0x0053fd40	CDXBitmapFont__ctor_base	BRACKETED_CONSTANT_DELTA	true	50	13	false	3	7bb97a2ca281f2b847d1b7066326218077fe51063bd08882521936b15c9f086f
0x0053f770	0x0053fd80	CDXBitmapFont__ReleaseFontResources	BRACKETED_CONSTANT_DELTA	true	89	21	false	7	8a79e81605a2192580a2e38eac9ca5b96095eaf15dcd2e4df65fd77bf428d804
0x0053f7d0	0x0053fde0	CDXBitmapFont__InitNamedFontSlot	BRACKETED_CONSTANT_DELTA	true	89	33	false	2	c1829d87e87ee1bacd0fb7723c38e5896f56083a9d658536da2cd2c9e4920095
0x0053f830	0x0053fe40	CDXBitmapFont__InitTextureFontSlot	BRACKETED_CONSTANT_DELTA	true	68	28	true	0	d90654feed642e29f512b2f96c97b61a7f9da39ec24d037e5adb6e75c1b5ac42
0x0053f880	0x0053fe90	CDXFont__CreateFromTexture	BRACKETED_CONSTANT_DELTA	true	638	187	false	21	412df2f6f7a222778878ca01ef13e49f1b25f1b3ec907982787083d240f118f4
0x0053fb00	0x00540110	CDXFont__CreateGDIFont	BRACKETED_CONSTANT_DELTA	true	1281	383	false	37	ada4095d1fc3541d7fbc01d293d728ac67404621efbc8dcf8c0d2a3bc3c261a1
0x00540010	0x00540620	CDXFont__DrawTextScaled	BRACKETED_CONSTANT_DELTA	true	1581	393	false	76	53f9fc68b579233997cded5c2f539c4e19ae2314c9cb97cf3f8c6a846923a155
0x00540640	0x00540c50	CDXFont__DrawText	BRACKETED_CONSTANT_DELTA	true	53	18	true	0	266a52bba540ab2e6a22f7d2a37ff105d781c1d3ffd3c3434a4c77d9a0500816
