# bea.re.evidence-register.v2
# generatedAtUtc: 2026-08-22T18:21:42.030296+00:00
# generation: 32
# readySha256: 08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
# reducerId: 4c465010b3240d476eb15c89fcfa51cd155936316e897e6f6a7b450df5944db3
# lineageId: incident-20260806-recovery-v1
# authorityClass: FULL_CAMPAIGN_REPLAY_AUTHORITY
# Deterministic tracked projection of the externally pinned campaign authority.
# Regenerate or check with tools/re_evidence_register_export.py; never select
# campaign authority from this projection itself.
entryVa	name	grade	resolution	contractState	evidence	generation	readySha256
0x00402220	CAirGuide__ShutdownAndUnlink	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402280	CAirGuide__VFunc_3_00402280	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004026b0	Vec3__Magnitude	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004026e0	CAirGuide__HandleEvent	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004027c0	CAirGuide__AcquireNearestTargetReader	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004028e0	CAirGuide__UpdateGroundClearanceCache	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004029e0	FUN_004029e0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402a00	FUN_00402a00	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;MAINTAINER_GHIDRA_BOUNDARY_PROMOTED;CAMPAIGN_TRIVIAL_TEMPLATE_NAME_ALIGNED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402ad0	CAirUnit__Init	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402d20	SharedVFunc__ReturnThis_00402d20	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402d30	CAirUnit__dtor_base	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402dd0	SharedShadowVFunc_T3_00402dd0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00402fa0	CAirUnit__UpdateMotionAndTrailEffects	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00403650	CMeshRenderer__CopyBasisAndRefreshTime	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00403690	CAirUnit__ReleaseAllAttachedParticleNodes	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00403730	CAirUnit__VFunc_68_TimestampAndCrashIfNoAirSupport	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00403760	CAirUnit__VFunc_69_ResetD0AndCrashIfNoSupportModes	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
